Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
kapteyn    pyast      icrs       galactic       0.000000     0.000000     0.000000     0.000000
kapteyn    pyslalib   icrs       galactic       0.000000     0.000000     0.000000     0.000000
pyast      pyslalib   icrs       galactic       0.000000     0.000000     0.000000     0.000000
kapteyn    pyast      icrs       ecliptic       0.036442     0.033079     0.041557     0.008934
kapteyn    pyslalib   icrs       ecliptic       0.059455     0.053652     0.068848     0.015781
pyast      pyslalib   icrs       ecliptic       0.075274     0.068358     0.086278     0.018900
astropy    kapteyn    galactic   fk5            0.353279     0.322220     0.403353     0.086674
astropy    pyast      galactic   fk5            0.353843     0.322757     0.404031     0.086827
astropy    pyephem    galactic   fk5            0.352419     0.321956     0.403090     0.086617
astropy    pyslalib   galactic   fk5            0.353843     0.322757     0.404031     0.086827
kapteyn    pyast      galactic   fk5            0.001213     0.001098     0.001414     0.000326
kapteyn    pyephem    galactic   fk5            0.007894     0.007138     0.009162     0.002053
kapteyn    pyslalib   galactic   fk5            0.001213     0.001098     0.001414     0.000326
pyast      pyephem    galactic   fk5            0.008570     0.007780     0.009988     0.002224
pyast      pyslalib   galactic   fk5            0.000000     0.000000     0.000000     0.000000
pyephem    pyslalib   galactic   fk5            0.000002     0.000002     0.000003     0.000001
astrolib   astropy    galactic   fk5            0.000068     0.000061     0.000078     0.000017
astrolib   kapteyn    galactic   fk5            0.000060     0.000054     0.000069     0.000016
astrolib   pyast      galactic   fk5            0.000060     0.000054     0.000069     0.000016
astrolib   pyephem    galactic   fk5            0.000061     0.000055     0.000071     0.000016
astrolib   pyslalib   galactic   fk5            0.000060     0.000054     0.000069     0.000016
astropy    kapteyn    galactic   fk4            0.000082     0.000075     0.000095     0.000022
astropy    pyast      galactic   fk4            0.000080     0.000085     0.000163     0.000043
astropy    pyephem    galactic   fk4            0.000124     0.000113     0.000144     0.000032
astropy    pyslalib   galactic   fk4            0.000080     0.000085     0.000163     0.000043
kapteyn    pyast      galactic   fk4            0.000060     0.000054     0.000069     0.000016
kapteyn    pyephem    galactic   fk4            0.000125     0.000125     0.000239     0.000063
kapteyn    pyslalib   galactic   fk4            0.000060     0.000054     0.000069     0.000016
pyast      pyephem    galactic   fk4            0.000151     0.000156     0.000280     0.000067
pyast      pyslalib   galactic   fk4            0.000000     0.000000     0.000000     0.000000
pyephem    pyslalib   galactic   fk4            0.000151     0.000156     0.000280     0.000067
astrolib   astropy    galactic   fk4            0.000082     0.000075     0.000095     0.000022
astrolib   kapteyn    galactic   fk4            0.000000     0.000000     0.000000     0.000000
astrolib   pyast      galactic   fk4            0.000060     0.000054     0.000069     0.000016
astrolib   pyephem    galactic   fk4            0.000125     0.000125     0.000239     0.000063
astrolib   pyslalib   galactic   fk4            0.000060     0.000054     0.000069     0.000016
astropy    kapteyn    galactic   icrs           0.000008     0.000007     0.000009     0.000002
astropy    pyast      galactic   icrs           0.000007     0.000007     0.000009     0.000002
astropy    pyslalib   galactic   icrs           0.000007     0.000007     0.000009     0.000002
kapteyn    pyast      galactic   icrs           0.000000     0.000000     0.000000     0.000000
kapteyn    pyslalib   galactic   icrs           0.000000     0.000000     0.000000     0.000000
pyast      pyslalib   galactic   icrs           0.000000     0.000000     0.000000     0.000000
kapteyn    pyast      galactic   ecliptic       0.034859     0.031737     0.040328     0.008981
