Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
pyephem    pyslalib   ecliptic   fk4            0.532465     0.538307     0.970137     0.243726
astrolib   kapteyn    ecliptic   fk4          701.904340   633.416523   804.633916   177.280770
astrolib   pyast      ecliptic   fk4          701.928799   633.445255   804.663505   177.281314
astrolib   pyephem    ecliptic   fk4          701.547889   633.030584   804.452073   177.169811
astrolib   pyslalib   ecliptic   fk4          701.859595   633.384767   804.588287   177.265808
kapteyn    novas      ecliptic   icrs           0.052811     0.047844     0.061352     0.013971
kapteyn    pyast      ecliptic   icrs           0.036183     0.032943     0.041557     0.008885
kapteyn    pyslalib   ecliptic   icrs           0.060109     0.054226     0.068848     0.015144
novas      pyast      ecliptic   icrs           0.027330     0.024660     0.031674     0.007067
novas      pyslalib   ecliptic   icrs           0.068411     0.062494     0.078201     0.016813
pyast      pyslalib   ecliptic   icrs           0.075946     0.068819     0.086278     0.018634
kapteyn    pyast      ecliptic   galactic       0.035058     0.031971     0.040328     0.008607
kapteyn    pyephem    ecliptic   galactic       0.007596     0.006915     0.008820     0.001975
kapteyn    pyslalib   ecliptic   galactic       0.060132     0.054337     0.068950     0.015137
pyast      pyephem    ecliptic   galactic       0.035611     0.032560     0.040945     0.008651
pyast      pyslalib   ecliptic   galactic       0.075946     0.068819     0.086278     0.018634
pyephem    pyslalib   ecliptic   galactic       0.056097     0.050907     0.064623     0.014268
astrolib   kapteyn    ecliptic   galactic     701.904126   633.416527   804.633570   177.280760
astrolib   pyast      ecliptic   galactic     701.912953   633.422714   804.639995   177.281136
astrolib   pyephem    ecliptic   galactic     701.900435   633.412642   804.628621   177.279689
astrolib   pyslalib   ecliptic   galactic     701.843747   633.362231   804.564677   177.265632
